Collectivite,type,population,score_sub,score_marches_pub,annee_score
REGION ILE DE FRANCE,REG,12384734.0,E,E,2024
REGION AUVERGNE-RHONE-ALPES,REG,8250506.0,E,E,2024
METROPOLE DU GRAND PARIS,MET,7136353.0,E,E,2024
REGION NOUVELLE-AQUITAINE,REG,6171721.0,E,E,2024
REGION OCCITANIE,REG,6097513.0,E,C,2024
REGION HAUTS-DE-FRANCE,REG,6088410.0,E,C,2024
REGION GRAND EST,REG,5668492.0,E,C,2024
REGION PROVENCE-ALPES-COTE D'AZUR,REG,5174034.0,E,A,2024
REGION DES PAYS DE LA LOIRE,REG,3922846.0,E,E,2024
REGION BRETAGNE,REG,3463439.0,E,C,2024
REGION NORMANDIE,REG,3396314.0,E,C,2024
REGION BOURGOGNE-FRANCHE-COMTE,REG,2874404.0,E,E,2024
DEPARTEMENT DU NORD,DEP,2637650.0,E,C,2024
REGION CENTRE-VAL DE LOIRE,REG,2632683.0,E,A,2024
VILLE DE PARIS,DEP,2162598.0,E,E,2024
DEPARTEMENT DES BOUCHES DU RHONE,DEP,2072395.0,E,E,2024
COLLECTIVITE EUROPEENNE D'ALSACE,DEP,1946215.0,E,E,2024
COLLECTIVITE EUROPEENNE D'ALSACE,DEP,1946215.0,E,E,2024
METROPOLE D'AIX-MARSEILLE-PROVENCE,MET,1925136.0,E,A,2024
DEPARTEMENT DE LA SEINE SAINT DENIS,DEP,1662063.0,E,E,2024
DEPARTEMENT DE LA GIRONDE,DEP,1661400.0,E,E,2024
DEPARTEMENT DES HAUTS-DE-SEINE,DEP,1642365.0,E,E,2024
DEPARTEMENT DU PAS DE CALAIS,DEP,1483731.0,E,E,2024
DEPARTEMENT DE LA LOIRE-ATLANTIQUE,DEP,1474310.0,E,E,2024
DEPARTEMENT DES YVELINES,DEP,1474222.0,E,E,2024
DEPARTEMENT DE SEINE ET MARNE,DEP,1444950.0,E,E,2024
DEPARTEMENT DE LA HAUTE GARONNE,DEP,1439027.0,E,C,2024
METROPOLE DE LYON,DEP,1432690.0,E,E,2024
DEPARTEMENT DU VAL DE MARNE,DEP,1416731.0,E,E,2024
DEPARTEMENT DE L' ESSONNE,DEP,1320115.0,E,C,2024
DEPARTEMENT DE L ISERE,DEP,1302470.0,E,A,2024
DEPARTEMENT DE LA SEINE MARITIME,DEP,1275382.0,E,E,2024
DEPARTEMENT DU VAL D OISE,DEP,1261690.0,E,E,2024
DEPARTEMENT DE L HERAULT,DEP,1206907.0,E,C,2024
METROPOLE EUROPEENNE DE LILLE,MET,1192973.0,E,E,2024
METROPOLE EUROPEENNE DE LILLE,MET,1192973.0,E,E,2024
METROPOLE EUROPEENNE DE LILLE,MET,1192973.0,E,E,2024
DEPARTEMENT D ILLE ET VILAINE,DEP,1113810.0,E,E,2024
DEPARTEMENT DES ALPES MARITIMES,DEP,1111390.0,E,C,2024
DEPARTEMENT DU VAR,DEP,1102299.0,E,C,2024
DEPARTEMENT DE LA MOSELLE,DEP,1067572.0,E,C,2024
DEPARTEMENT DU FINISTERE,DEP,942234.0,E,C,2024
COMMUNE DE MARSEILLE,COM,876602.0,E,E,2024
DEPARTEMENT DE LA REUNION,DEP,872635.0,E,C,2024
REGION REUNION,REG,872635.0,E,C,2024
DEPARTEMENT DE LA HAUTE SAVOIE,DEP,856460.0,E,E,2024
DEPARTEMENT DE L'OISE,DEP,847162.0,E,C,2024
